Country,Description,Designation,Points,Price,State,Region_1,Region_2,Taster_Name,Taster_Twitter,Title,Variety,Winery,Website
US,"A vineyard in view of neighbors Hirsch and Martinelli, this prime coastal site is put to spectacular use here. High-toned in crisp cranberry and raspberry, this wine offers wave upon wave of nuanced orange peel and dried herb, with bursts of black cherry along the way.","McDougall Vineyard",94,62,California,"Fort Ross-Seaview",Sonoma,"Virginie Boone",@vboone,"Dutton-Goldfield 2013 McDougall Vineyard Pinot Noir (Fort Ross-Seaview)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"A worthy followup to the 2007, perhaps not as immediately flamboyant, but a major Pinot Noir to age in the cellar. Shows flashy cherry and raspberry fruit, with tantalizingly rich spices and a perfect coating of sweet, smoky oak. Fine and delicious now, after decanting, and should develop over this decade.","Saralee's Vineyard",94,35,California,"Russian River Valley",Sonoma,NULL,NULL,"Joseph Swan Vineyards 2008 Saralee's Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Joseph Swan Vineyards",www.swanwinery.com
US,"An enormous wine, rich and complex and tannic enough to cellar. Made from the estate vineyard in the Sebastopol area, it floods the mouth with savory cherry, cola, rhubarb, cocoa and cinnamon spice flavors, wrapped into a silky, velvety texture. Feels classic, but you do want to give it some time. Drink 2012–2016.","Meredith Estate Méthode a L'Ancienne",94,54,California,"Russian River Valley",Sonoma,NULL,NULL,"Merry Edwards 2008 Meredith Estate Méthode a L'Ancienne Pinot Noir (Russian River Valley)","Pinot Noir","Merry Edwards",www.merryedwards.com
US,"Brambly cherry fruit carries a generous amount of vanilla and clove highlights, along with a lightly smoky aroma of Earl Grey tea. Such details bring the wine to a deliciously satisfying finish.","Archery Summit Estate",94,150,Oregon,"Dundee Hills","Willamette Valley","Paul Gregutt",@paulgwine ,"Archery Summit 2012 Archery Summit Estate Pinot Noir (Dundee Hills)","Pinot Noir","Archery Summit",www.archerysummit.com
US,"Crisp acidity buoys sharp red fruit in this delectable wine—a blend of multiple sites across the appellation. Medium build, it shows youthful tannins and oak that supports without intrusion, allowing the crunch of cranberry, strawberry and pomegranate to speak forcefully.","Russian River Selection",94,45,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2015 Russian River Selection Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"Dark and dense upon opening, this compact, concentrated cuvée matches its muscular fruit to polished tannins. Black cherry dives deep, almost to the level of black currant fruit, and brings a streak of black olive. This impressive effort will drink well now through 2025.","Renegade Ridge Estate",94,85,Oregon,"Dundee Hills","Willamette Valley","Paul Gregutt",@paulgwine ,"Archery Summit 2012 Renegade Ridge Estate Pinot Noir (Dundee Hills)","Pinot Noir","Archery Summit",www.archerysummit.com
US,"Dense and concentrated, this wine is ultra smooth in texture, offering an abundance of red and black cherry, dark plum and baking spice aromas. One of the few Pinots grown in Marin County, it has great depth and a memorable flavor profile that lingers long into the finish.","Devil's Gulch Vineyard",94,68,California,"Marin County","North Coast","Jim Gordon",@gordone_cellars,"Dutton-Goldfield 2014 Devil's Gulch Vineyard Pinot Noir (Marin County)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"Dry, elegant and complex, this is rich in red cherry, pomegranate and cola flavors, with earthy complexities suggesting mushroom and dried herb. Beautiful to drink now, and it should improve in the bottle over the next six years.","Brown Ranch",94,60,California,Carneros,Napa-Sonoma,NULL,NULL,"Saintsbury 2009 Brown Ranch Pinot Noir (Carneros)","Pinot Noir",Saintsbury,www.saintsbury.com
US,"Dryness and acidity mark this terrific wine. It's one for connoisseurs, a Pinot that requires some understanding to fully appreciate, as it's not a hedonistic seducer. The cherry and blackberry flavors have a fruit-skin bitterness, and there are additional nuances of violets, cola, leather, balsam and smoky oak. This is certainly one for the cellar. Drink now, with decanting, and over the next eight years.","Allen Vineyard Hillside Blocks",94,65,California,"Russian River Valley",Sonoma,NULL,NULL,"Gary Farrell 2005 Allen Vineyard Hillside Blocks Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"English breakfast tea, light plum, dark strawberry, rhubarb, thyme and lavender swirl in the heady nose of this bottling. It's elegant and floral on the palate, with more lavender and lots of bergamot and Earl Grey flavors that linger long through the finish.",NULL,94,75,California,"Sta. Rita Hills","Central Coast","Matt Kettmann",@mattkettmann,"Wedell Cellars 2012 Pinot Noir (Sta. Rita Hills)","Pinot Noir","Wedell Cellars",www.wedellcellars.com
US,"Extraordinarily sweet and attractive in raspberry and cherry fruit, as concentrated and pure as anything in California. The acidity is beautiful, as you'd expect from this vineyard in such a cool vintage, and it showcases Pinot Noir's silkiness and beauty. Despite the immediate flash,  it will develop bottle complexity; hold until 2016.","Bien Nacido Vineyard",94,55,California,"Santa Maria Valley","Central Coast",NULL,NULL,"Gary Farrell 2010 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"Fresh, fruity and acidic, this young Pinot Noir wants some time in the cellar. It's brilliantly structured, with a core of black cherries, cola, rhubarbs, pomegranates, mushrooms and spices, with rich notes of smoke, cocoa and cedar. Silky and complex, and should age through 2013.","McDougall Vineyard",94,58,California,"Sonoma Coast",Sonoma,NULL,NULL,"Dutton-Goldfield 2007 McDougall Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"From a coastal vineyard in the southwest corner of the Russian River Valley, this is earthy and brambly on the nose, inviting in its sense of wild abandon. Concentrated yet vibrant in acidity, the flavors lean toward cranberry and tart cherry, completely enveloped in intriguing cardamom spice. Elegant and balanced.","Dutton Ranch Freestone Hill Vineyard",94,72,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Dutton-Goldfield 2012 Dutton Ranch Freestone Hill Vineyard Pinot Noir (Russian River Valley)","Pinot Noir",Dutton-Goldfield,www.duttongoldfield.com
US,"From a vineyard within the Santa Rosa Plains, this wine opens in pretty, floral aromas of violet and gentle rose. Seductive, it follows with bursts of blood orange and wild strawberry that remain faint and delicate on the palate, light and clear in color, and elegant in intensity. Still, there's enough backbone to the wine to keep it fresh and alive through the long finish.","Toboni Vineyard",94,55,California,"Russian River Valley",Sonoma,"Virginie Boone",@vboone,"Gary Farrell 2013 Toboni Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell",www.garyfarrellwines.com
US,"From cool Green Valley in this cool vintage comes this translucently colored young Pinot Noir. It's silky and light in the mouth, but enormously complex, with spicy cherry, raspberry, cola, licorice, datenut, fig and soy sauce flavors that are heightened and brightened by crisp acidity. Thoroughly enjoyable now, and should develop for up to six years.","Graham Family Vineyard",94,50,California,"Green Valley",Sonoma,NULL,NULL,"Loring Wine Company 2006 Graham Family Vineyard Pinot Noir (Green Valley)","Pinot Noir","Loring Wine Company",www.loringwinecompany.com
